id;nombre_adjunto;fecha_creacion;fecha_modificacion;estado_adjunto;adjunto_proyecto_fase;nombre_archivo_original;fecha_inicio;fecha_fin
1;withdrawal;2020-01-24;2020-01-24;56343;disintermediate Jordan Savings Account;deploy Advanced;2020-01-24;2020-01-24
2;Chicken payment;2020-01-23;2020-01-24;50044;Switzerland Operations;Unions Jewelery leading-edge;2020-01-24;2020-01-24
3;Moldova Operative;2020-01-24;2020-01-24;39436;Slovenia synthesize capacitor;Sports violet;2020-01-24;2020-01-23
4;Unbranded Frozen Bike invoice;2020-01-24;2020-01-24;19715;Inlet yellow Shoes;Open-source multi-tasking;2020-01-24;2020-01-23
5;Maldives Kansas Generic;2020-01-24;2020-01-24;39990;Administrator;Granite Computer Dong;2020-01-24;2020-01-23
6;Fish attitude-oriented;2020-01-23;2020-01-24;18522;Principal;Avon neural;2020-01-24;2020-01-24
7;New Caledonia;2020-01-24;2020-01-23;258;invoice Cambridgeshire;Secured olive;2020-01-24;2020-01-24
8;next-generation Human;2020-01-23;2020-01-24;55663;Seamless;object-oriented;2020-01-23;2020-01-23
9;New Leu primary;2020-01-23;2020-01-24;14970;interfaces Mouse;bus;2020-01-23;2020-01-24
10;Bermuda;2020-01-24;2020-01-24;31227;Phased sky blue;Exclusive benchmark;2020-01-24;2020-01-24
