id;nombre_adjunto;fecha_creacion;fecha_modificacion;estado_adjunto;adjunto_retroalimentacion;nombre_archivo_original;fecha_inicio;fecha_fin
1;Florida;2020-10-08;2020-10-07;50805;Virtual;synthesizing best-of-breed copying;2020-10-08;2020-10-07
2;Legacy Checking Account sky blue;2020-10-07;2020-10-07;92609;Kansas;Savings Account neural;2020-10-08;2020-10-07
3;whiteboard;2020-10-08;2020-10-08;42997;Wooden envisioneer;Canadian Dollar deposit;2020-10-07;2020-10-07
4;Jewelery withdrawal Fish;2020-10-07;2020-10-07;60623;Montana;generating New York;2020-10-07;2020-10-07
5;deposit;2020-10-07;2020-10-07;88595;monitor Corporate;encoding Director;2020-10-07;2020-10-07
6;client-driven stable;2020-10-07;2020-10-07;39242;Toys;back up quantifying;2020-10-07;2020-10-07
7;New Mexico virtual;2020-10-07;2020-10-07;24080;well-modulated Consultant;Checking Account Directives Handmade Plastic Shoes;2020-10-07;2020-10-07
8;Integration Object-based;2020-10-08;2020-10-07;66597;Senior Berkshire;protocol;2020-10-07;2020-10-07
9;alarm;2020-10-07;2020-10-07;22577;Parkway alliance;Berkshire invoice;2020-10-07;2020-10-07
10;wireless;2020-10-07;2020-10-07;82307;Marketing;Home Loan Account Fantastic;2020-10-07;2020-10-07
