id;titulo_cronograma;fecha_inicio;fecha_fin;observaciones
1;magenta efficient;2020-01-23;2020-01-24;approach Borders Unbranded
2;Small bypassing;2020-01-24;2020-01-24;Frozen
3;magenta Turkish Lira;2020-01-23;2020-01-24;Chicken
4;Web;2020-01-24;2020-01-24;Kids Communications Generic Granite Gloves
5;Accountability Assurance Auto Loan Account;2020-01-23;2020-01-24;indexing Handcrafted
6;Malta Auto Loan Account online;2020-01-24;2020-01-24;Central African Republic
7;markets protocol Savings Account;2020-01-24;2020-01-24;HDD pink
8;Hill override PNG;2020-01-24;2020-01-24;Avon
9;Clothing deposit;2020-01-24;2020-01-23;Analyst deposit
10;whiteboard;2020-01-24;2020-01-24;Electronics Switchable
