id;formato;version;codigo;fecha
1;olive;Kids Incredible;Florida THX Idaho;2020-01-24
2;open-source;pixel SAS parsing;Branding Concrete;2020-01-24
3;superstructure;Kids;microchip;2020-01-23
4;Wooden;North Carolina infomediaries Chief;Money Market Account end-to-end navigating;2020-01-24
5;Computers generating;users Guinea;SQL lavender;2020-01-23
6;back-end Fresh Missouri;Central digital supply-chains;Bedfordshire;2020-01-23
7;Philippine Peso incentivize;Metal;methodologies Granite Corporate;2020-01-24
8;Armenian Dram;Global Soft Missouri;Awesome Cotton Tuna;2020-01-24
9;microchip Small Wooden;Future;pixel Phased payment;2020-01-24
10;Virginia;niches drive Ireland;strategic;2020-01-23
