id;encabezado;descripcion;pregunta
1;deposit Rand Namibia Dollar;Branding;Handcrafted Rubber Sausages
2;Towels Mississippi Product;Metal;complexity Direct Administrator
3;online program Refined Granite Gloves;quantifying Baby;one-to-one Connecticut
4;Unbranded Tugrik;models streamline;projection Maldives
5;withdrawal alarm Timor-Leste;Personal Loan Account Inverse;Track
6;Books CSS Holy See (Vatican City State);Data Tasty Steel Pants Licensed Steel Shirt;Manor
7;Utah zero defect;bypass e-services;Russian Federation program
8;Practical;emulation SQL;Persevering Gorgeous Steel Salad Associate
9;Fantastic whiteboard;lavender;neural Cloned Massachusetts
10;SCSI Communications Underpass;Officer parse;Intuitive
