id;descripcion;justificacion;cantidad;valor_unitario;especie;dinero;orden_vista
1;mobile Fish;Home Loan Account Table Computer;5808;45924;86617;33370;60111
2;alarm;Tasty Metal Bacon;93855;21233;77;18182;99221
3;Money Market Account;Albania web-readiness;29122;52477;61185;39986;13949
4;zero administration;Multi-channelled Licensed;61838;19967;38246;51423;98323
5;Canyon HDD;Table Small Frozen Sausages Planner;80839;38541;30461;1596;9767
6;Nakfa;Bahamian Dollar Investment Account;83319;3438;17336;90932;39106
7;Tuna;hardware Costa Rica Mayotte;18485;3131;96958;84228;77513
8;Markets Chief;capacitor archive;57044;19598;52083;4522;96117
9;navigating;interactive generating compelling;28093;60703;54269;27599;14092
10;back-end;Industrial;42340;77224;39488;19871;29348
