id;titulo;cumplida;fecha_cumplimiento;observaciones
1;Profound Plastic XSS;true;2020-01-24;mindshare
2;District THX Coordinator;true;2020-01-24;Specialist e-services
3;program override red;true;2020-01-24;efficient RSS Neck
4;Mouse fuchsia Licensed;false;2020-01-23;connecting back up
5;back-end 4th generation;true;2020-01-23;Savings Account online Avon
6;Savings Account;true;2020-01-24;architectures
7;Networked;false;2020-01-24;Kentucky maximized
8;e-tailers Architect Chair;false;2020-01-24;disintermediate Walks Credit Card Account
9;payment;true;2020-01-23;solid state Handmade Granite Fish Rustic
10;Tasty;true;2020-01-24;Berkshire
