id;resultado;indicador;beneficiario
1;Borders Borders Practical;methodical;Pakistan
2;parse;neural Wooden Optimization;Tasty Rubber Car mindshare EXE
3;bandwidth Liaison;program Auto Loan Account Refined;infomediaries
4;Fantastic Fresh Salad;Steel Avon Visionary;exploit transition
5;User-centric Principal Pennsylvania;repurpose Sleek;mesh system Triple-buffered
6;Cotton;Advanced grow;Handmade Wooden Cheese Fresh
7;input Naira;Markets;Glen Refined
8;Mandatory Assistant;Strategist;Incredible Fresh Car Tuvalu
9;Senior Optional Yemeni Rial;Central African Republic;magenta heuristic
10;Credit Card Account Maryland Legacy;Product;Brand Regional Court
