id;titulo;retroalimentacion;fecha_retroalimentacion;estado_retroalimentacion;estado_proyecto_fase
1;Industrial;connect Markets Chief;2020-02-08;2020-02-08;92187
2;Awesome;Aruba;2020-02-07;2020-02-08;84453
3;compress South Georgia and the South Sandwich Islands;compelling mission-critical;2020-02-08;2020-02-08;14092
4;back-end;Industrial;2020-02-08;2020-02-07;39488
5;24 hour;overriding;2020-02-08;2020-02-08;72900
6;quantify Unbranded Plastic Tuna Frozen;generating Highway Ergonomic;2020-02-08;2020-02-08;66884
7;payment;withdrawal COM;2020-02-08;2020-02-08;11959
8;bus synthesize Idaho;Networked Sleek Metal Table Small;2020-02-08;2020-02-08;20171
9;Dynamic;knowledge base Buckinghamshire;2020-02-07;2020-02-08;24929
10;relationships override;Brand;2020-02-08;2020-02-08;69478
