id;permitir_acceso;permitir_crear;permitir_editar;permitir_eliminar;auth_name
1;false;true;true;false;multi-byte Savings Account Dam
2;false;false;false;true;Savings Account alarm
3;false;false;true;true;Implementation Electronics Officer
4;true;false;true;true;web-readiness
5;false;true;true;false;Gorgeous Frozen Pants
6;false;false;false;true;grey Cambridgeshire
7;true;false;false;true;Yuan Renminbi Centers
8;false;true;true;true;cross-platform access
9;false;false;true;false;Bahamian Dollar Investment Account
10;true;false;false;true;Digitized invoice
