id;estado;asunto;texto_solicitud;fecha_solicitud
1;true;artificial intelligence;Arizona Congolese Franc;2020-01-24
2;true;Developer Books;model Facilitator Minnesota;2020-01-24
3;true;Berkshire Tugrik;Steel;2020-01-24
4;false;capacitor;feed;2020-01-24
5;true;Handmade;Table Synergistic Officer;2020-01-24
6;true;parsing Identity;Health Polarised transmitting;2020-01-23
7;true;Music Data East Caribbean Dollar;Savings Account Branding navigating;2020-01-24
8;true;Incredible deposit;Checking Account utilisation AI;2020-01-23
9;true;primary Iowa bandwidth;withdrawal copy Dynamic;2020-01-24
10;true;program virtual metrics;embrace intranet deposit;2020-01-24
